country_iso3,product_id,year,export_value,rca,pci
BRN,330,1995,8964658.36,1.308,1.694
BRN,166,1995,25130447.23,2.267,1.848
BRN,319,1995,6159079.78,0.501,1.374
BRN,184,1995,4714467.23,0.289,-0.724
BRN,126,1995,79333714.72,0.836,0.734
BRN,293,1995,4378587.22,1.633,0.091
BRN,62,1995,40039137.28,0.554,-0.803
BRN,370,1995,10971490.34,1.805,0.285
BRN,328,1995,2932348579.06,0.649,2.561
BRN,260,1995,5274313.56,0.556,-0.603
BRN,270,1995,49032506.12,1.501,-0.801
BRN,65,1995,2395484579.67,0.226,0.086
BRN,385,1995,17508496.09,1.72,-1.531
BRN,469,1995,32156172.37,3.266,-1.727
BRN,353,1995,31149762.0,1.918,1.586
BRN,5,1995,2995956.54,0.671,0.234
BRN,261,1995,747260.39,2.672,-0.083
BRN,165,1995,206674616.72,0.435,-2.307
BRN,360,1995,146590856.09,0.714,-1.165
BRN,60,1995,108629921.25,3.186,-1.289
BRN,226,1995,90212002.05,0.996,0.636
BRN,237,1995,9095167.16,0.304,1.175
BRN,352,1995,196843400.83,1.385,1.339
BRN,434,1995,32096184.08,1.063,-1.946
BRN,187,1995,428279693.09,0.993,-1.393
BRN,188,1995,40039168.41,1.463,-0.446
BRN,169,1995,29746081.43,6.817,-1.686
BRN,239,1995,49945858.05,0.45,-0.965
BRN,441,1995,2289556.76,1.053,1.404
BRN,453,1995,308253633.75,1.043,0.277
BRN,224,1995,31631599.82,0.38,-0.194
BRN,315,1995,149077158.85,1.895,-0.486
BRN,362,1995,836022670.11,0.358,-0.175
BRN,86,1995,15437760.4,2.916,-0.694
BRN,144,1995,17586938.0,0.069,0.619
BRN,356,1995,27924171.63,0.759,-0.578
BRN,451,1995,84532631.46,7.439,0.584
BRN,122,1995,18134383.7,0.435,0.373
BRN,409,1995,60322977.25,0.172,0.402
BRN,415,1995,664911256.38,0.442,0.675
BRN,257,1995,71163844.81,6.085,0.675
BRN,174,1995,53887939.09,0.302,-0.761
BRN,206,1995,95871675.96,0.616,-0.344
BRN,121,1995,119237956.71,1.135,1.498
BRN,132,1995,4014312.95,0.8,0.111
BRN,214,1995,105208264.23,0.467,0.585
BRN,92,1995,14079572.77,0.406,1.928
BRN,46,1995,76777993.63,1.464,-0.678
BRN,140,1995,62527442.22,0.26,0.055
BRN,457,1995,4883137.3,6.875,1.051
BRN,219,1995,149788640.55,0.666,-0.851
BRN,218,1995,28100080.07,0.675,-0.346
BRN,376,1995,31704399.12,3.316,1.062
BRN,31,1995,10127999.93,0.187,0.124
BRN,145,1995,410384685.96,3.867,-0.507
BRN,402,1995,204477756.05,0.398,-0.217
BRN,213,1995,40784485.68,1.609,-1.237
BRN,290,1995,81126780.67,4.958,1.646
BRN,116,1995,78945742.86,0.938,-1.491
BRN,396,1995,272310331.69,0.903,-2.066
BRN,306,2005,34779165.0,0.314,-0.334
BRN,490,2005,9784054.83,0.343,0.159
BRN,298,2005,453343044.48,1.453,-0.767
BRN,39,2005,538849273.62,1.436,-0.845
BRN,92,2005,7100674.45,0.286,0.142
BRN,324,2005,17868189.03,2.206,-1.131
BRN,309,2005,36805625.02,1.2,-0.19
BRN,181,2005,284907154.49,1.434,-1.092
BRN,60,2005,11454908.98,1.322,1.538
BRN,480,2005,22902502.25,0.433,-1.151
BRN,5,2005,1333861081.97,2.339,-0.326
BRN,458,2005,34824278.23,1.179,0.17
BRN,462,2005,1477425756.59,0.652,0.976
BRN,65,2005,73013141.18,3.216,-0.359
BRN,434,2005,91631591.82,0.456,2.119
BRN,196,2005,261748.35,8.151,-0.38
BRN,459,2005,120318862.72,2.48,0.776
BRN,54,2005,75511690.97,0.384,0.264
BRN,475,2005,13016202.5,1.075,1.27
BRN,231,2005,20084596.07,2.42,-0.797
BRN,175,2005,55995010.18,2.082,-1.173
BRN,383,2005,22130826.92,1.276,-0.319
BRN,405,2005,78262033.54,0.805,-0.806
BRN,254,2005,109117124.38,0.249,0.151
BRN,267,2005,467260214.69,3.915,0.429
BRN,366,2005,22639380.61,5.401,1.125
BRN,288,2005,42072498.35,1.022,1.747
BRN,300,2005,1045577.15,0.498,0.664
BRN,245,2005,729805327.98,1.743,0.679
BRN,30,2005,221638103.34,1.568,0.909
BRN,420,2005,419902369.68,2.816,0.201
BRN,293,2005,17368014.92,0.389,0.071
BRN,299,2005,57458477.48,0.771,0.495
BRN,70,2005,13715657.43,1.225,0.255
BRN,307,2005,16424136.69,0.54,-0.43
BRN,244,2005,98382712.53,0.963,1.17
BRN,19,2005,16769707.63,4.577,-0.063
BRN,445,2005,510340777.71,1.003,-0.823
BRN,119,2005,18168775.74,0.1,-0.559
BRN,290,2005,58836078.5,0.929,-2.036
BRN,203,2005,152900031.36,0.578,-0.334
BRN,200,2005,14793690.07,0.298,-0.009
BRN,120,2005,22204498.92,1.351,-0.309
BRN,223,2005,19621096.13,1.331,0.336
BRN,6,2005,21434553.43,1.876,-0.371
BRN,172,2005,734017173.62,1.008,-0.47
BRN,488,2005,4016786.84,1.971,-0.651
BRN,248,2005,22785933.92,0.689,0.138
BRN,154,2005,201511304.76,3.568,1.881
BRN,398,2005,19490337.11,0.419,0.046
BRN,399,2005,999730390.78,2.339,-0.053
BRN,378,2005,5641070.56,1.606,0.242
BRN,329,2005,84246285.65,0.449,0.046
BRN,182,2005,22148337.49,1.787,-0.255
BRN,164,2005,2634178.17,0.232,-0.185
BRN,56,2005,25412794.34,0.23,0.197
BRN,121,2005,4908196.27,0.118,1.246
BRN,207,2005,9899645.3,2.688,-0.143
BRN,270,2005,37266893.11,0.751,2.313
BRN,285,2005,778524.76,1.52,0.552
BRN,457,2015,111635004.37,6.381,-0.822
BRN,359,2015,81454384.1,5.601,0.922
BRN,323,2015,124049197.44,1.115,-0.639
BRN,133,2015,29398237.59,0.571,-0.631
BRN,474,2015,384605860.97,0.531,0.22
BRN,346,2015,221702732.36,5.219,-0.061
BRN,6,2015,12541857.7,2.221,-0.635
BRN,18,2015,2351413.13,0.373,1.318
BRN,96,2015,24204581.71,0.842,1.235
BRN,242,2015,336055049.61,1.55,-0.586
BRN,327,2015,3160762.66,0.156,-0.749
BRN,226,2015,10608351.07,2.308,-0.392
BRN,116,2015,60354065.08,0.234,-0.351
BRN,350,2015,1464174472.88,0.617,0.118
BRN,34,2015,3389627.25,1.087,0.157
BRN,154,2015,26189927.83,0.095,0.069
BRN,370,2015,44932015.67,1.73,0.097
BRN,180,2015,185484446.52,0.609,2.318
BRN,306,2015,7982742.42,0.895,-0.733
BRN,471,2015,66091815.9,0.759,0.124
BRN,288,2015,52706182.81,4.386,-0.379
BRN,361,2015,24060721.12,0.248,0.961
BRN,150,2015,4262202.93,0.222,-0.776
BRN,89,2015,3816828.56,2.436,-1.059
BRN,97,2015,128047068.99,1.139,0.074
BRN,355,2015,136361123.5,1.331,-1.098
BRN,276,2015,57139319.79,0.256,1.04
BRN,329,2015,26173635.22,0.503,0.962
BRN,342,2015,14008699.32,0.96,1.778
BRN,409,2015,8569921.95,8.231,1.211
BRN,293,2015,183711253.34,0.678,0.32
BRN,104,2015,8195456.84,1.688,0.205
BRN,294,2015,59285239.03,0.352,0.751
BRN,447,2015,4345559.36,0.336,0.157
BRN,105,2015,944749.43,0.078,-0.381
BRN,78,2015,99883328.14,5.457,0.445
BRN,127,2015,59266427.49,0.488,-2.259
BRN,125,2015,6312514.09,0.16,0.912
BRN,163,2015,13483947.16,0.712,0.993
BRN,85,2015,5330519.26,0.806,0.685
BRN,439,2015,37038856.71,0.238,0.007
BRN,256,2015,8319671.39,3.559,-0.3
BRN,456,2015,1013807445.21,0.397,0.552
BRN,480,2015,751323168.26,0.786,-0.824
BRN,366,2015,15160086.26,0.361,0.547
BRN,287,2015,16786925.09,0.325,-0.019
BRN,358,2015,4849379.28,1.65,0.026
BRN,82,2015,23005202.25,1.162,-0.783
BRN,230,2015,880784799.61,0.764,0.142
BRN,472,2015,3207772.41,0.515,-1.237
BRN,405,2015,2710971.16,0.981,-0.108
BRN,27,2015,17662806.47,0.81,1.469
BRN,460,2015,178000017.95,1.642,1.897
BRN,464,2015,59956263.57,0.288,0.783
BRN,368,2015,157912742.76,0.367,2.649
BRN,243,2015,1552077318.04,0.575,-0.058
BRN,74,2015,62394162.72,0.277,-0.093
BRN,434,2015,153629832.15,0.717,-0.082
BRN,304,2015,226461891.1,0.617,0.659
BRN,88,2015,3388490.72,1.031,0.448
BRN,395,2023,60273623.61,0.434,-0.67
BRN,15,2023,2063415801.72,1.044,-0.752
BRN,413,2023,4954635.61,3.871,-0.123
BRN,372,2023,49024258.27,0.975,-1.651
BRN,317,2023,8579688.26,0.303,-0.916
BRN,208,2023,17301318.46,0.651,-1.673
BRN,76,2023,78893040.67,0.142,1.995
BRN,82,2023,61867014.52,0.501,0.133
BRN,446,2023,470130.41,1.019,-1.479
BRN,256,2023,208187166.44,0.874,0.995
BRN,309,2023,3052422.98,0.387,0.619
BRN,114,2023,104549193.55,0.752,-0.85
BRN,88,2023,36259224.17,0.254,0.238
BRN,225,2023,25835953.29,1.709,-0.78
BRN,83,2023,4424237.99,0.96,0.527
BRN,77,2023,75004990.37,0.578,1.139
BRN,41,2023,22535338.82,1.395,0.37
BRN,464,2023,55345475.97,0.454,-0.766
BRN,417,2023,5216471.16,1.499,0.684
BRN,325,2023,900992.84,1.708,0.497
BRN,347,2023,371880698.89,0.642,0.694
BRN,21,2023,10685589.03,2.185,-1.696
BRN,171,2023,911519721.39,0.971,1.584
BRN,46,2023,1352251337.64,0.727,1.039
BRN,183,2023,2635104.82,2.551,-0.634
BRN,141,2023,229945276.02,0.179,-0.738
BRN,399,2023,2605778.97,0.65,-0.203
BRN,11,2023,32187793.99,2.392,1.643
BRN,402,2023,33907176.15,0.914,-0.322
BRN,280,2023,22493618.2,0.916,-1.465
BRN,9,2023,39802954.85,1.068,0.703
BRN,368,2023,6725253.72,0.796,0.243
BRN,358,2023,22878143.85,0.199,-0.14
BRN,365,2023,69087384.79,2.312,-0.844
BRN,67,2023,67917898.67,0.282,1.302
BRN,65,2023,13626502.4,0.565,1.241
BRN,229,2023,39469447.59,0.046,-0.203
BRN,427,2023,373787789.56,0.378,-0.405
BRN,203,2023,454959997.86,0.884,0.028
BRN,324,2023,203868714.0,4.947,-1.218
BRN,211,2023,229552029.91,2.39,-0.118
BRN,27,2023,14909843.09,2.075,0.431
BRN,274,2023,145799716.11,0.883,-1.524
BRN,98,2023,55992185.79,0.423,0.692
BRN,13,2023,12730019.91,0.999,-1.472
BRN,388,2023,131029315.87,2.108,0.763
BRN,19,2023,11337614.16,0.887,0.893
BRN,153,2023,69825266.82,0.76,-0.706
BRN,70,2023,189280709.76,2.192,1.54
BRN,389,2023,78973398.82,0.272,0.08
BRN,178,2023,54046911.2,1.58,-0.232
BRN,241,2023,315563473.84,6.129,0.595
BRN,313,2023,623804615.25,1.037,-0.883
BRN,272,2023,12050855.81,0.217,1.497
BRN,337,2023,409001782.72,0.325,-1.249
BRN,299,2023,33232495.97,3.365,-0.976
BRN,243,2023,15300805.38,7.457,-0.834
BRN,139,2023,34403292.39,0.157,-0.085
BRN,323,2023,324135923.33,1.309,0.442
BRN,447,2023,229332342.06,0.712,0.296
KHM,463,1995,235967296.19,0.45,-0.212
