country_iso3,year,degree_out,degree_in,strength_out,betweenness,community_id,eci
BRN,1995,31,26,120936125267.24,0.02194,5,0.704
BRN,2005,27,30,92618866413.29,0.01944,4,-0.337
BRN,2015,20,11,6058813239.45,0.00039,5,0.366
BRN,2023,13,34,21948793852.62,0.01491,5,-0.039
KHM,1995,27,16,43150606540.77,0.02517,1,0.735
KHM,2005,27,17,38523685274.9,0.00178,2,-0.102
KHM,2015,22,21,49927552114.52,0.00403,5,0.571
KHM,2023,25,35,1880338411957.14,0.01863,5,1.009
IDN,1995,30,27,55785859373.01,0.0067,3,0.321
IDN,2005,24,28,138069643395.95,0.00867,5,-0.913
IDN,2015,17,37,7034315187.44,0.02943,2,0.765
IDN,2023,28,28,196407260785.47,0.00143,3,1.357
LAO,1995,21,25,3408049223.98,0.02749,5,1.71
LAO,2005,31,18,341410406583.36,0.00525,3,1.344
LAO,2015,16,37,36477779627.51,0.02217,1,1.172
LAO,2023,30,36,56680516380.93,0.00601,1,0.844
MYS,1995,26,11,22486886572.01,0.00706,2,-0.843
MYS,2005,26,20,205426390114.05,0.03826,3,-0.057
MYS,2015,12,27,320294857413.47,0.00256,4,0.664
MYS,2023,37,22,6692659010.8,0.00376,1,-0.45
MMR,1995,16,35,21897890607.98,0.02865,2,-1.02
MMR,2005,23,32,148833374046.45,0.02815,1,0.406
MMR,2015,27,20,935262254219.23,0.01606,1,1.24
MMR,2023,31,13,55127873582.4,0.01365,4,-0.863
PHL,1995,33,23,131112257722.58,0.08274,3,-0.28
PHL,2005,21,34,2869611085.6,0.03983,2,-0.887
PHL,2015,24,28,15199560175.09,0.03159,2,0.48
PHL,2023,31,20,10711036002.73,0.01667,1,-0.824
SGP,1995,33,24,816205617094.21,0.0462,3,1.359
SGP,2005,34,22,5710932075.19,0.05723,1,-1.403
SGP,2015,14,35,60912798206.21,0.01815,5,-1.228
SGP,2023,37,26,155288764496.22,0.03314,4,0.238
THA,1995,30,11,571490681582.71,0.02104,3,-0.833
THA,2005,29,28,31843337072.2,0.05026,3,-0.903
