product_id,parent_id,level,hs92_code,name,name_short,sector_id,sector_color
1,,1,0,Nganh 1,Nganh 1,1,#4E79A7
2,1,2,08,Nhom 1-0,Nhom 1-0,1,#4E79A7
3,2,4,0800,San pham 1-0-0,San pham 1-0-0,1,#4E79A7
4,2,4,0801,San pham 1-0-1,San pham 1-0-1,1,#4E79A7
5,2,4,0802,San pham 1-0-2,San pham 1-0-2,1,#4E79A7
6,2,4,0803,San pham 1-0-3,San pham 1-0-3,1,#4E79A7
7,2,4,0804,San pham 1-0-4,San pham 1-0-4,1,#4E79A7
8,1,2,09,Nhom 1-1,Nhom 1-1,1,#4E79A7
9,8,4,0810,San pham 1-1-0,San pham 1-1-0,1,#4E79A7
10,8,4,0811,San pham 1-1-1,San pham 1-1-1,1,#4E79A7
11,8,4,0812,San pham 1-1-2,San pham 1-1-2,1,#4E79A7
12,8,4,0813,San pham 1-1-3,San pham 1-1-3,1,#4E79A7
13,8,4,0814,San pham 1-1-4,San pham 1-1-4,1,#4E79A7
14,1,2,10,Nhom 1-2,Nhom 1-2,1,#4E79A7
15,14,4,0820,San pham 1-2-0,San pham 1-2-0,1,#4E79A7
16,14,4,0821,San pham 1-2-1,San pham 1-2-1,1,#4E79A7
17,14,4,0822,San pham 1-2-2,San pham 1-2-2,1,#4E79A7
18,14,4,0823,San pham 1-2-3,San pham 1-2-3,1,#4E79A7
19,14,4,0824,San pham 1-2-4,San pham 1-2-4,1,#4E79A7
20,1,2,11,Nhom 1-3,Nhom 1-3,1,#4E79A7
21,20,4,0830,San pham 1-3-0,San pham 1-3-0,1,#4E79A7
22,20,4,0831,San pham 1-3-1,San pham 1-3-1,1,#4E79A7
23,20,4,0832,San pham 1-3-2,San pham 1-3-2,1,#4E79A7
24,20,4,0833,San pham 1-3-3,San pham 1-3-3,1,#4E79A7
25,20,4,0834,San pham 1-3-4,San pham 1-3-4,1,#4E79A7
26,1,2,12,Nhom 1-4,Nhom 1-4,1,#4E79A7
27,26,4,0840,San pham 1-4-0,San pham 1-4-0,1,#4E79A7
28,26,4,0841,San pham 1-4-1,San pham 1-4-1,1,#4E79A7
29,26,4,0842,San pham 1-4-2,San pham 1-4-2,1,#4E79A7
30,26,4,0843,San pham 1-4-3,San pham 1-4-3,1,#4E79A7
31,26,4,0844,San pham 1-4-4,San pham 1-4-4,1,#4E79A7
32,1,2,13,Nhom 1-5,Nhom 1-5,1,#4E79A7
33,32,4,0850,San pham 1-5-0,San pham 1-5-0,1,#4E79A7
34,32,4,0851,San pham 1-5-1,San pham 1-5-1,1,#4E79A7
35,32,4,0852,San pham 1-5-2,San pham 1-5-2,1,#4E79A7
36,32,4,0853,San pham 1-5-3,San pham 1-5-3,1,#4E79A7
37,32,4,0854,San pham 1-5-4,San pham 1-5-4,1,#4E79A7
38,1,2,14,Nhom 1-6,Nhom 1-6,1,#4E79A7
39,38,4,0860,San pham 1-6-0,San pham 1-6-0,1,#4E79A7
40,38,4,0861,San pham 1-6-1,San pham 1-6-1,1,#4E79A7
41,38,4,0862,San pham 1-6-2,San pham 1-6-2,1,#4E79A7
42,38,4,0863,San pham 1-6-3,San pham 1-6-3,1,#4E79A7
43,38,4,0864,San pham 1-6-4,San pham 1-6-4,1,#4E79A7
44,1,2,15,Nhom 1-7,Nhom 1-7,1,#4E79A7
45,44,4,0870,San pham 1-7-0,San pham 1-7-0,1,#4E79A7
46,44,4,0871,San pham 1-7-1,San pham 1-7-1,1,#4E79A7
47,44,4,0872,San pham 1-7-2,San pham 1-7-2,1,#4E79A7
48,44,4,0873,San pham 1-7-3,San pham 1-7-3,1,#4E79A7
